enrollment_id,truth
1,0
3,0
4,0
5,0
6,0
7,1
9,1
12,0
13,0
14,1
16,0
18,0
20,0
22,1
23,0
26,0
28,1
31,1
32,0
35,0
39,1
45,0
48,0
49,0
50,1
51,0
53,0
55,0
58,0
60,0
65,1
67,1
68,0
69,0
70,0
71,0
73,1
74,0
75,0
76,0
78,0
80,0
81,0
82,0
83,0
86,0
87,0
88,0
90,0
93,1
94,0
95,0
96,1
97,1
98,0
101,1
103,0
104,0
106,1
107,1
109,1
111,1
112,0
113,0
119,0
120,0
121,0
122,0
123,0
129,1
130,0
132,1
133,1
134,1
135,1
138,0
140,1
141,1
142,0
144,0
146,0
148,0
149,1
150,0
151,0
152,0
155,0
157,1
159,0
160,1
161,0
162,0
166,0
167,0
170,0
171,0
172,0
173,0
174,0
175,1
176,1
178,0
180,0
182,0
186,0
189,0
190,0
192,0
193,1
195,1
196,1
198,0
199,0
200,1
201,0
204,0
208,0
209,0
214,0
216,1
219,0
221,1
222,0
227,0
228,0
231,0
233,0
234,0
235,1
239,0
240,0
241,0
242,0
244,0
245,1
247,0
249,0
250,0
251,0
252,0
254,1
255,0
257,0
258,0
261,0
264,1
265,0
266,0
267,0
268,0
269,0
270,1
272,0
275,1
277,0
278,0
279,0
282,0
284,0
285,0
288,1
293,1
294,1
295,0
297,0
298,0
301,0
302,0
304,0
307,0
309,0
310,1
311,0
313,1
314,0
316,0
317,0
319,0
321,0
322,0
323,0
324,0
325,0
327,0
329,1
332,0
334,0
335,0
337,0
339,1
340,1
341,0
343,1
344,0
345,0
346,0
349,0
351,0
352,0
354,0
355,0
357,0
358,1
361,0
364,0
366,0
367,1
370,1
371,1
373,0
375,0
377,0
382,0
386,0
387,0
390,0
393,1
394,0
396,0
398,1
399,0
400,0
402,1
403,1
406,1
407,0
410,0
412,0
414,0
424,0
425,0
426,0
428,1
429,0
431,0
432,0
433,0
435,0
436,0
438,1
441,0
442,0
444,0
445,1
446,1
448,0
450,1
451,0
452,0
454,0
458,0
459,0
460,1
461,1
464,0
466,1
467,1
469,0
471,1
474,1
475,0
480,0
482,0
484,0
486,0
490,1
491,0
493,0
496,1
501,0
505,0
509,0
511,0
512,0
514,1
515,0
516,0
517,0
518,1
522,0
523,0
525,1
526,0
530,0
532,0
533,0
534,0
535,1
536,1
541,0
543,1
545,1
546,0
547,0
548,1
550,1
552,0
553,0
556,1
558,0
561,0
562,1
566,1
572,1
576,0
579,1
580,0
581,0
582,0
584,1
587,0
588,0
589,1
590,1
591,0
592,0
594,0
598,0
599,0
600,1
602,1
606,0
609,0
611,0
612,0
613,1
614,1
615,0
616,1
617,0
620,1
621,1
625,0
627,0
629,1
630,1
633,1
634,0
635,0
636,1
638,0
639,0
643,1
644,1
645,1
646,0
650,0
652,1
654,0
658,1
659,1
660,0
661,0
662,0
663,0
673,0
676,0
677,0
680,1
682,0
683,0
685,1
687,0
689,1
690,0
691,0
692,0
693,0
695,0
697,0
699,0
701,0
703,0
704,1
705,0
707,1
709,0
711,0
714,0
715,0
717,0
718,0
723,1
725,1
726,0
727,0
728,0
730,0
733,0
734,1
736,0
738,1
740,1
742,0
743,1
744,1
745,1
746,0
749,0
750,0
751,0
752,0
757,0
758,0
760,0
761,0
762,1
763,1
769,1
771,1
773,1
774,0
775,0
777,0
778,0
780,1
781,0
783,0
785,0
788,0
789,0
790,0
791,0
792,1
799,0
800,1
802,1
803,1
805,0
806,1
809,0
810,1
815,0
819,1
820,0
821,0
824,0
825,0
827,0
833,1
835,0
837,0
840,0
844,0
848,1
852,0
853,0
858,0
860,0
861,0
862,0
863,0
865,0
868,1
870,0
871,1
872,0
875,0
878,1
882,1
884,0
885,0
887,0
888,1
890,0
891,0
893,1
895,0
899,0
900,1
901,1
903,0
904,1
906,0
907,0
911,0
912,0
916,0
917,0
919,1
921,0
922,0
923,0
924,0
925,1
930,1
933,0
935,1
936,1
937,0
938,1
939,0
940,0
941,0
945,0
946,0
950,1
951,0
953,0
954,0
955,0
958,1
960,1
962,0
963,0
964,1
965,0
966,1
967,0
970,1
971,0
974,0
976,0
978,0
980,0
984,0
985,0
987,0
988,0
989,0
991,0
992,1
994,0
996,1
997,0
999,1
1000,0
1001,0
1005,0
1006,0
1007,0
1008,0
1011,0
1015,1
1018,0
1019,0
1020,0
1021,0
1022,1
1024,0
1028,0
1029,0
1030,0
1031,1
1033,0
1035,0
1037,0
1040,0
1041,0
1043,0
1044,1
1045,0
1046,1
1049,1
1050,0
1054,0
1056,0
1057,0
1058,0
1065,0
1066,0
1069,0
1073,1
1074,0
1075,0
1076,1
1077,0
1078,0
1080,0
1082,0
1084,1
1085,0
1086,0
1087,0
1088,1
1089,0
1090,1
1091,0
1092,1
1095,0
1096,0
1098,0
1099,0
1101,0
1103,1
1108,1
1110,0
1112,1
1116,0
1118,1
1124,0
1126,0
1128,1
1129,0
1131,0
1133,0
1134,1
1135,0
1137,0
1138,0
1139,0
1140,1
1141,0
1142,1
1143,1
1144,0
1145,0
1147,0
1149,1
1150,0
1154,1
1162,0
1163,0
1167,0
1168,1
1169,0
1170,0
1172,0
1174,0
1178,0
1179,1
1181,1
1182,0
1183,1
1185,0
1186,1
1187,1
1188,1
1190,0
1191,0
1192,0
1195,0
1196,0
1202,0
1203,0
1206,1
1212,0
1213,0
1216,0
1222,1
1223,0
1225,1
1227,0
1228,1
1230,0
1233,1
1235,1
1240,1
1241,0
1243,0
1244,1
1246,0
1248,1
1249,1
1250,1
1252,0
1253,1
1257,0
1258,0
1260,0
1263,0
1264,0
1268,0
1270,1
1271,1
1278,0
1280,1
1281,0
1283,1
1284,0
1285,1
1287,0
1288,1
1289,0
1290,0
1292,0
1296,0
1297,1
1299,0
1301,0
1303,1
1306,0
1308,0
1309,0
1310,0
1311,0
1312,0
1313,0
1315,0
1316,0
1318,0
1321,0
1322,0
1328,1
1331,1
1337,0
1339,0
1340,0
1341,1
1342,1
1343,0
1344,0
1345,1
1349,1
1350,0
1351,0
1352,0
1353,0
1357,0
1358,0
1363,0
1364,1
1365,0
1366,1
1367,0
1371,0
1372,0
1373,0
1376,1
1377,0
1378,0
1379,0
1380,1
1386,1
1387,0
1389,0
1390,0
1391,0
1392,0
1393,0
1394,0
1397,0
1398,0
1399,0
1401,0
1404,0
1405,0
1406,0
1407,0
1408,0
1409,0
1410,0
1412,1
1414,0
1417,1
1420,1
1422,0
1423,0
1424,0
1425,1
1427,1
1428,1
1429,0
1430,0
1433,0
1437,0
1438,0
1440,1
1442,0
1443,1
1446,0
1450,0
1451,0
1452,1
1453,1
1454,0
1455,0
1456,1
1457,0
1458,0
1460,1
1462,1
1463,0
1464,1
1466,0
1468,0
1469,0
1472,0
1473,0
1474,0
1476,0
1477,0
1478,0
1481,0
1484,1
1485,0
1486,1
1489,0
1490,1
1491,0
1493,0
1494,0
1495,1
1496,0
1497,0
1498,0
1499,0
1500,1
1501,0
1502,0
1503,1
1504,1
1506,0
1508,0
1509,0
1512,0
1513,0
1516,0
1518,0
1519,0
1520,0
1521,0
1522,1
1524,0
1525,0
1529,0
1530,0
1535,0
1537,0
1542,0
1545,0
1546,1
1548,0
1550,0
1551,0
1556,1
1557,0
1558,1
1561,0
1564,0
1565,0
1567,1
1569,1
1572,1
1573,0
1575,1
1576,1
1578,1
1579,0
1581,0
1582,0
1583,1
1585,0
1587,1
1588,0
1592,1
1593,1
1594,1
1595,1
1600,0
1601,1
1602,0
1604,0
1606,0
1608,1
1609,0
1610,0
1612,0
1614,1
1615,0
1616,0
1617,1
1618,0
1620,0
1621,1
1622,0
1625,0
1627,1
1628,0
1629,0
1630,1
1631,0
1632,0
1633,0
1634,0
1637,0
1639,1
1640,0
1647,0
1648,0
1649,0
1651,0
1652,0
1654,1
1657,0
1660,0
1662,1
1663,1
1668,0
1669,0
1673,0
1674,1
1676,0
1677,0
1678,0
1679,0
1681,0
1686,0
1687,1
1688,0
1690,0
1694,0
1697,0
1698,0
1701,0
1705,0
1707,1
1708,1
1711,1
1713,0
1714,1
1715,0
1719,0
1720,0
1730,1
1731,1
1732,0
1733,1
1734,0
1735,0
1736,1
1738,1
1745,0
1747,0
1749,0
1752,0
1753,0
1754,0
1755,0
1756,1
1757,0
1758,0
1760,1
1764,1
1767,0
1769,1
1770,1
1772,0
1776,1
1779,1
1780,0
1782,0
1783,1
1788,0
1789,1
1790,1
1792,0
1793,1
1794,0
1795,0
1796,0
1799,1
1800,0
4171,0
4172,0
4173,1
4174,1
4176,0
4178,1
4179,1
4182,0
4183,0
4185,0
4186,0
4187,1
4192,0
4194,1
4196,0
4197,0
4200,0
4204,0
4208,0
4213,0
4214,1
4217,0
4218,1
4219,0
4220,0
4221,0
4222,0
4223,1
4225,0
4226,1
4227,0
4228,1
4230,0
4231,0
4232,1
4233,0
4234,1
4236,0
4237,0
4238,0
4241,0
4243,0
4244,1
4247,0
4249,0
4250,1
4253,0
4254,0
4255,0
4256,1
4258,1
4261,0
4266,0
4268,1
4270,1
4272,0
4273,1
4274,0
4276,0
4277,0
4278,0
4280,1
4284,0
4286,0
4288,1
4290,1
4291,0
4292,1
4296,1
4299,0
4300,0
4301,1
4302,0
4303,0
4304,0
4306,1
4313,1
4316,0
4317,0
4319,0
4321,0
4322,1
4323,1
4324,0
4325,0
4326,0
4327,0
4328,1
4331,0
4332,1
4333,1
4334,1
4340,0
4342,1
4344,1
4345,0
4348,1
4352,0
4353,0
4354,0
4355,1
4359,0
4361,1
4365,1
4366,0
4369,0
4373,0
4374,0
4375,0
4377,0
4382,1
4383,1
4384,0
4386,0
4390,0
4391,0
4392,0
4393,1
4394,0
4395,1
4396,0
4397,0
4401,1
4402,1
4404,1
4405,0
4406,0
4407,1
4408,0
4409,1
4410,0
4414,1
4415,0
4416,1
4418,0
4419,1
4420,0
4422,1
4423,0
4425,1
4426,0
4428,1
4430,1
4431,0
4432,0
4435,0
4437,0
4439,0
4440,0
4441,0
4443,1
4444,0
4447,0
4449,0
4450,0
4453,0
4454,1
4456,0
4459,0
4461,0
4462,0
4466,0
4468,0
4469,0
4470,1
4474,1
4475,0
4476,1
4477,0
4479,1
4481,0
4482,0
4483,0
4486,1
4487,1
4489,0
4493,0
4495,1
4496,0
4498,0
4499,0
4506,0
4507,0
4508,0
4509,1
4511,1
4512,1
4516,0
4521,1
4524,1
4525,0
4527,1
4528,1
4530,0
4532,0
4533,0
4534,0
4539,1
4542,1
4544,1
4545,0
4546,1
4548,0
4550,0
4552,0
4553,0
4555,1
4559,1
4560,1
4561,0
4564,0
4565,0
4566,0
4570,1
4571,0
4574,1
4575,0
4578,0
4579,0
4581,1
4582,0
4583,0
4584,0
4585,0
4587,0
4588,0
4592,0
4595,0
4596,0
4598,0
4600,0
4602,1
4604,0
4606,0
4610,1
4613,0
4614,1
4616,0
4617,1
4620,0
4622,0
4623,0
4624,1
4625,0
4626,0
4627,0
4630,0
4631,1
4634,0
4635,1
4637,0
4638,0
4641,0
4643,0
4644,0
4646,1
4647,0
4651,1
4652,1
4655,0
4656,0
4657,0
4658,1
4659,0
4660,0
4663,1
4664,0
4669,0
4670,0
4671,0
4672,0
4673,1
4676,0
4677,1
4680,0
4683,0
4684,0
4687,0
4690,0
4692,1
4693,0
4695,0
4697,1
4700,0
4702,1
4704,0
4705,1
4711,1
4713,1
4714,1
4717,1
4721,1
4722,0
4724,0
4728,1
4729,1
4730,1
4731,0
4732,0
4733,1
4734,1
4735,1
4737,0
4741,1
4744,1
4745,0
4746,0
4747,0
4748,0
4751,0
4753,1
4755,0
4758,0
4759,1
4760,1
4762,0
4763,0
4765,0
4767,1
4768,1
4770,1
4773,1
4774,0
4775,1
4776,0
4777,0
4781,1
4782,1
4785,0
4786,1
4788,0
4790,1
4791,1
4792,1
4793,0
4796,0
4797,1
4798,0
4801,1
4802,0
4803,0
4805,0
4806,0
4807,1
4808,0
4815,0
4817,0
4818,0
4819,1
4825,0
4827,0
4830,0
4831,0
4832,1
4835,0
4836,1
4838,1
4839,0
4840,0
4842,1
4843,1
4844,1
4845,1
4848,1
4852,0
4854,1
4855,0
4858,0
4860,0
4861,1
4863,0
4864,0
4865,1
4867,1
4868,1
4869,0
4876,1
4877,1
4878,0
4879,1
4880,1
4886,0
4887,1
4888,0
4889,0
4890,0
4892,0
4893,0
4895,0
4897,0
4898,0
4899,0
4900,0
4901,1
4903,0
4905,0
4907,0
4910,1
4911,0
4913,0
4915,0
4919,1
4920,1
4922,1
4926,0
4927,0
4930,0
4931,0
4934,0
4936,0
4937,0
4938,1
4943,0
4947,1
4948,1
4951,0
4952,1
4954,1
4955,1
4956,1
4960,1
4961,0
4962,1
4963,0
4965,0
4966,1
4967,1
4971,0
4973,0
4975,0
4976,0
4978,1
4979,1
4982,0
4984,0
4987,1
4989,0
4990,0
4993,0
4994,0
4995,1
4997,0
4998,0
5002,1
5003,1
5005,0
5006,1
5007,0
5008,1
5009,0
5011,0
5017,0
5018,1
5019,0
5023,1
5026,1
5027,0
5028,1
5032,1
5033,1
5035,0
5038,0
5040,0
5042,1
5046,1
5047,0
5050,0
5051,0
5056,1
5057,0
5058,0
5059,1
5062,1
5063,0
5064,1
5067,0
5072,0
5074,0
5076,1
5077,1
5080,1
5081,1
5083,0
5084,0
5085,1
5086,0
5088,1
5092,1
5094,1
5095,1
5100,0
5101,1
5103,1
5105,1
5106,0
5108,0
5110,1
5112,0
5114,0
5115,0
5116,1
5117,0
5120,1
5126,1
5127,1
5129,1
5134,1
5136,1
5137,1
5139,1
5144,1
5145,0
5147,1
5148,0
5149,0
5150,0
5151,1
5155,0
5157,1
5158,0
5159,1
5160,1
5162,1
5163,1
5164,0
5165,1
5166,0
5167,1
5168,0
5170,0
5171,0
5177,0
5178,0
5179,0
5180,0
5181,0
5182,1
5185,0
5187,0
5191,0
5194,1
5197,1
5201,0
5203,0
5204,0
5205,1
5207,0
5208,1
5209,1
5211,0
5212,1
5213,1
5214,0
5215,0
5216,1
5218,0
5219,0
5222,0
5223,1
5225,1
5226,0
5227,0
5229,1
5231,0
5235,1
5237,0
5241,1
5243,1
5245,0
5246,0
5249,1
5253,1
5254,0
5255,0
5257,1
5260,1
5262,1
5264,1
5267,0
5268,1
5271,1
5276,0
5277,1
5278,0
5280,1
5282,1
5284,0
5285,1
5287,1
5290,0
5291,0
5292,0
5293,1
5295,1
5296,1
5298,0
5300,0
5302,0
5309,1
5311,0
5313,0
5316,0
5317,1
5318,1
5321,1
5323,1
5324,0
5326,1
5328,1
5329,0
5331,1
5333,1
5334,0
5335,0
5336,0
5337,1
5338,0
5339,0
5343,0
5348,0
5350,1
5351,1
5353,1
5357,0
5358,0
5360,0
5361,1
5365,0
5368,1
5369,0
5370,1
5371,0
5375,0
5382,1
5383,0
5384,1
5385,1
5393,0
5396,0
5398,0
5400,0
5402,0
5404,1
5405,1
5411,1
5413,1
5415,0
5416,0
5419,1
5422,1
5423,1
5425,0
5427,0
5428,0
5429,1
5430,1
5435,1
5438,0
5440,1
5447,1
5449,0
5451,1
5456,0
5460,0
5461,0
5463,1
5467,1
5470,0
5471,0
5475,0
5477,0
5478,1
5479,0
5480,0
5481,0
5482,1
5483,0
5484,1
5485,0
5489,1
5490,1
5493,0
5494,0
5495,0
5496,1
5497,0
5501,1
5502,1
5503,1
5505,0
5508,0
5512,0
5513,0
5519,0
5520,1
5524,1
5525,1
5528,0
5529,0
5530,1
5532,1
5533,1
5536,0
5537,0
5538,0
5539,0
5542,0
5543,1
5544,1
5545,1
5546,0
5547,0
5552,0
5555,0
5556,1
5557,1
5559,0
5560,1
5569,1
5571,0
5575,0
5576,0
5577,1
5578,0
5579,1
5584,1
5585,1
5591,1
5593,1
5595,1
5597,0
5598,1
5600,1
5602,0
5603,1
5604,0
5606,0
5608,1
5609,0
5612,1
5613,0
5614,1
5616,0
