problem,access,navigate,page_close,video,discussion,wiki
0,0,0,0,0,0,0
1.5485652260309177,2.7558285606524024,2.4056390622295662,2.7272170014624826,1.8810947601100745,1.8016366412706075,0
1.3074038590831627,1.566470321169739,0.7219280948873623,1.894042441466968,1.2406705316766886,0.9852281360342516,0
2.661690946043527,2.818223511721389,2.2516291673878226,2.95006375643621,1.9795739585136223,1.8016366412706075,0
2.9676465764941558,3.3663109262435196,2.2516291673878226,3.459341405516837,3.383272672738775,3.0061547438286045,0.0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
