problem,access,navigate,page_close,video,discussion,wiki
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.5916727785823275,2.007916836948221,1.5794340029249652,2.059351621971922,2.0464393446710156,1.0529815751302694,1.3709505944546687
0.9709505944546686,2.2746276985842497,1.9219280948873623,2.4701970429406517,2.321928094887362,0.0,0.0
0.0,2.711251135731455,0,3.010570934268484,2.235926350629032,0,0
1.0,2.116299605701696,0,1.75,0.9182958340544896,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
