problem,access,navigate,page_close,video,discussion,wiki
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.0,2.2916919971380594,2.1473487816330517,2.363865121950854,1.4591479170272448,0.0,0.0
0.0,2.824662457497003,2.1862781244591325,2.6037016960573482,1.9056390622295665,0.0,0
1.4591479170272448,2.6864949940128127,1.8676338909712122,1.9609640474436811,0.0,0,0
0.9601186626422924,1.7721273073271537,1.7464657985040721,0.9709505944546686,0.9940302114769565,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
