problem,access,navigate,page_close,video,discussion,wiki
0,0,0,0,0,0,0
0,0,0,0,0,0,0
2.5,2.6858675526529816,2.4464393446710155,2.1464657985040723,2.5039975273348487,2.4193819456463714,0.0
0,0,0,0,0,0,0
0.8112781244591328,1.8879185026711327,1.0,2.1280852788913944,1.584962500721156,0.0,0
1.5319196359759941,2.0200801449949783,1.5,2.1348337559566755,1.823026490712885,0.9940302114769565,0
1.0,3.3336519708666987,1.9182958340544893,3.2762604255157943,2.9941117190410815,1.4195562985716133,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
